时间 (CST)CST,纬度纬度,经度经度,航向航向,节,公里/小时,米,爬升率,报告设施

Airline,,,
星期五 14:09:0002:09下午    离开停机位 (PVG) @ 星期五 14:09:00 CST,,,Airline
Surface and Near-Surface,,,
滑行时间: 47 分钟,,,
星期五 14:56:0802:56下午    出发 (PVG) @ 星期五 14:56:08 CST,,,Surface and Near-Surface
星期六 01:45:0101:45上午,-37.0388-37.04,174.6891174.69,→ 71°,139,257,457457,-243,FlightAware ADS-B  (AKL / NZAA)
星期六 01:45:1701:45上午,-37.0358-37.04,174.7005174.70,→ 71°,140,259,396396,-229,FlightAware ADS-B  (AKL / NZAA)
Surface and Near-Surface,,,
星期六 01:45:2701:45上午,-37.0336-37.03,174.7082174.71,→ 71°,142,262,358358,-243,Surface and Near-Surface
Airline,,,
星期六 01:46:0001:46上午    到达 (AKL) @ 星期六 05:46:00 NZST,,,Airline
FlightAware ADS-B,,,
星期六 01:46:3801:46上午,-37.0179-37.02,174.7651174.77,→ 71°,151,280,6969,-226,FlightAware ADS-B  (NZME)
星期六 01:46:5401:46上午,-37.0142-37.01,174.7784174.78,→ 71°,148,274,3030,-143,FlightAware ADS-B  (AKL / NZAA)
Airline,,,
滑行时间: 9 分钟,,,
星期六 01:55:0001:55上午    到达停机位 (AKL) @ 星期六 05:55:00 NZST,,,Airline
