时间 (CST)CST,纬度纬度,经度经度,航向航向,节,公里/小时,米,爬升率,报告设施

Airline,,,
星期五 14:09:0002:09下午    离开停机位 (PVG) @ 星期五 14:09:00 CST,,,Airline
Surface and Near-Surface,,,
滑行时间: 47 分钟,,,
星期五 14:56:0802:56下午    出发 (PVG) @ 星期五 14:56:08 CST,,,Surface and Near-Surface
星期五 16:14:4904:14下午,29.360529.36,131.9532131.95,↘ 145°,528,978,"10,66010660",8,FlightAware ADS-B  (KMI / RJFM)
星期五 16:15:1904:15下午,29.300729.30,132.0015132.00,↘ 145°,529,980,"10,66810668",5,FlightAware ADS-B  (KMI / RJFM)
星期五 16:16:1904:16下午,29.180229.18,132.0989132.10,↘ 145°,529,980,"10,66810668",,FlightAware ADS-B  (KMI / RJFM)
星期五 16:17:2004:17下午,29.058729.06,132.1967132.20,↘ 145°,533,987,"10,66810668",,FlightAware ADS-B  (KMI / RJFM)
星期五 16:17:5304:17下午,28.992028.99,132.2501132.25,↘ 145°,532,985,"10,66810668",,FlightAware ADS-B  (KMI / RJFM)
FlightAware Approximate,,,
星期五 16:20:1804:20下午,28.716628.72,132.4718132.47,↘ 145°,,,,,FlightAware Approximate
星期五 16:22:1704:22下午,28.490328.49,132.6529132.65,↘ 145°,,,,,FlightAware Approximate
星期五 16:23:1704:23下午,28.376128.38,132.7439132.74,↘ 145°,,,,,FlightAware Approximate
星期五 16:24:1704:24下午,28.261828.26,132.8347132.83,↘ 145°,,,,,FlightAware Approximate
星期五 16:25:1704:25下午,28.147828.15,132.9259132.93,↘ 145°,,,,,FlightAware Approximate
星期五 16:26:1904:26下午,28.030128.03,133.0202133.02,↘ 145°,,,,,FlightAware Approximate
星期五 16:28:0804:28下午,27.823127.82,133.1854133.19,↘ 145°,,,,,FlightAware Approximate
星期五 16:30:0904:30下午,27.593127.59,133.3682133.37,↘ 145°,,,,,FlightAware Approximate
星期五 16:31:1504:31下午,27.467627.47,133.4676133.47,↘ 145°,,,,,FlightAware Approximate
星期五 16:32:1504:32下午,27.353427.35,133.5577133.56,↘ 145°,,,,,FlightAware Approximate
星期五 16:34:2004:34下午,27.115327.12,133.7450133.75,↘ 145°,,,,,FlightAware Approximate
星期五 16:36:2004:36下午,26.886526.89,133.9240133.92,↘ 145°,,,,,FlightAware Approximate
星期五 16:38:1004:38下午,26.676626.68,134.0874134.09,↘ 145°,,,,,FlightAware Approximate
星期五 16:39:1804:39下午,26.546726.55,134.1882134.19,↘ 145°,,,,,FlightAware Approximate
星期五 16:41:2004:41下午,26.313526.31,134.3683134.37,↘ 145°,,,,,FlightAware Approximate
星期五 16:43:1304:43下午,26.097426.10,134.5345134.53,↘ 145°,,,,,FlightAware Approximate
星期五 16:44:2004:44下午,25.969125.97,134.6328134.63,↘ 145°,,,,,FlightAware Approximate
星期五 16:46:1104:46下午,25.756525.76,134.7952134.80,↘ 145°,,,,,FlightAware Approximate
星期五 16:48:1404:48下午,25.520625.52,134.9743134.97,↘ 146°,,,,,FlightAware Approximate
星期五 16:49:1504:49下午,25.399625.40,135.0559135.06,↘ 149°,,,,,FlightAware Approximate
星期五 16:50:1704:50下午,25.275625.28,135.1371135.14,↘ 149°,,,,,FlightAware Approximate
星期五 16:52:1704:52下午,25.035425.04,135.2938135.29,↘ 149°,,,,,FlightAware Approximate
星期五 16:53:1804:53下午,24.913324.91,135.3733135.37,↘ 149°,,,,,FlightAware Approximate
星期五 16:55:1804:55下午,24.672924.67,135.5291135.53,↘ 149°,,,,,FlightAware Approximate
星期五 16:57:1704:57下午,24.434424.43,135.6830135.68,↘ 150°,,,,,FlightAware Approximate
星期五 16:58:1704:58下午,24.314124.31,135.7603135.76,↘ 150°,,,,,FlightAware Approximate
星期五 17:00:2005:00下午,24.067324.07,135.9185135.92,↘ 150°,,,,,FlightAware Approximate
星期五 17:02:1605:02下午,23.834423.83,136.0671136.07,↘ 150°,,,,,FlightAware Approximate
星期五 17:03:2105:03下午,23.703823.70,136.1501136.15,↘ 150°,,,,,FlightAware Approximate
星期五 17:05:0505:05下午,23.494823.49,136.2826136.28,↘ 150°,,,,,FlightAware Approximate
星期五 17:06:1305:06下午,23.358123.36,136.3690136.37,↘ 150°,,,,,FlightAware Approximate
星期五 17:07:2005:07下午,23.223423.22,136.4540136.45,↘ 150°,,,,,FlightAware Approximate
星期五 17:09:1305:09下午,22.996023.00,136.5969136.60,↘ 150°,,,,,FlightAware Approximate
星期五 17:11:1605:11下午,22.748422.75,136.7520136.75,↘ 150°,,,,,FlightAware Approximate
星期五 17:12:1705:12下午,22.625522.63,136.8286136.83,↘ 150°,,,,,FlightAware Approximate
星期五 17:13:1705:13下午,22.504622.50,136.9039136.90,↘ 150°,,,,,FlightAware Approximate
星期五 17:15:1305:15下午,22.270622.27,137.0487137.05,↘ 150°,,,,,FlightAware Approximate
星期五 17:16:1305:16下午,22.149322.15,137.1230137.12,↘ 150°,,,,,FlightAware Approximate
星期五 17:17:1705:17下午,22.019922.02,137.2021137.20,↘ 150°,,,,,FlightAware Approximate
星期五 17:19:1805:19下午,21.775121.78,137.3514137.35,↘ 150°,,,,,FlightAware Approximate
星期五 17:21:1305:21下午,21.542421.54,137.4927137.49,↘ 151°,,,,,FlightAware Approximate
星期五 17:23:2105:23下午,21.283221.28,137.6495137.65,↘ 151°,,,,,FlightAware Approximate
星期五 17:25:0805:25下午,21.066321.07,137.7801137.78,↘ 151°,,,,,FlightAware Approximate
Oakland Oceanic,,,
星期五 17:25:2605:25下午,21.000021.00,137.8167137.82,↘ 152°,492,911,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 17:27:1805:27下午,20.804020.80,137.9266137.93,↘ 152°,492,911,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 17:28:1705:28下午,20.616720.62,138.0333138.03,↘ 152°,496,919,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 17:30:0805:30下午,20.420620.42,138.1425138.14,↘ 152°,496,919,"10,66810668",,FlightAware Transoceanic
星期五 17:31:2005:31下午,20.293420.29,138.2132138.21,↘ 153°,496,919,"10,66810668",,FlightAware Transoceanic
星期五 17:33:1905:33下午,20.083120.08,138.3297138.33,↘ 153°,496,919,"10,66810668",,FlightAware Transoceanic
星期五 17:35:1505:35下午,19.878019.88,138.4430138.44,↘ 153°,496,919,"10,66810668",,FlightAware Transoceanic
星期五 17:36:1505:36下午,19.771919.77,138.5015138.50,↘ 153°,496,919,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 17:37:5205:37下午,19.450019.45,138.6833138.68,↘ 153°,500,925,"10,66810668",,Oakland Oceanic
FlightAware Transoceanic,,,
星期五 17:40:1105:40下午,19.201819.20,138.8187138.82,↘ 153°,500,925,"10,66810668",,FlightAware Transoceanic
星期五 17:42:1605:42下午,18.978518.98,138.9400138.94,↘ 153°,500,925,"10,66810668",,FlightAware Transoceanic
星期五 17:44:1705:44下午,18.762318.76,139.0572139.06,↘ 153°,500,925,"10,66810668",,FlightAware Transoceanic
星期五 17:46:1205:46下午,18.556818.56,139.1682139.17,↘ 153°,500,925,"10,66810668",,FlightAware Transoceanic
星期五 17:47:2005:47下午,18.435218.44,139.2338139.23,↘ 153°,500,925,"10,66810668",,FlightAware Transoceanic
Oakland Oceanic,,,
星期五 17:47:3205:47下午,18.250018.25,139.3333139.33,↘ 153°,504,933,"10,66810668",,Oakland Oceanic
